ocd_id,fips,county,enrweb_name
ocd-division/country:us/state:mo/county:ripley,181,Ripley County,RIPLEY
ocd-division/country:us/state:mo/county:saline,195,Saline County,SALINE
ocd-division/country:us/state:mo/county:schuyler,197,Schuyler County,SCHUYLER
ocd-division/country:us/state:mo/county:scotland,199,Scotland County,SCOTLAND
ocd-division/country:us/state:mo/county:scott,201,Scott County,SCOTT
ocd-division/country:us/state:mo/county:shannon,203,Shannon County,SHANNON
ocd-division/country:us/state:mo/county:shelby,205,Shelby County,SHELBY
ocd-division/country:us/state:mo/county:st_charles,183,St. Charles County,ST CHARLES
ocd-division/country:us/state:mo/county:st_clair,185,St. Clair County,ST CLAIR
ocd-division/country:us/state:mo/county:st_francois,187,St. Francois County,ST FRANCOIS
ocd-division/country:us/state:mo/county:st_louis,189,St. Louis County,ST LOUIS COUNTY
ocd-division/country:us/state:mo/county:st_louis city,510,St. Louis City,ST LOUIS CITY
ocd-division/country:us/state:mo/county:ste_genevieve,186,Ste. Genevieve County,STE GENEVIEVE
ocd-division/country:us/state:mo/county:stoddard,207,Stoddard County,STODDARD
ocd-division/country:us/state:mo/county:stone,209,Stone County,STONE
ocd-division/country:us/state:mo/county:sullivan,211,Sullivan County,SULLIVAN
ocd-division/country:us/state:mo/county:taney,213,Taney County,TANEY
ocd-division/country:us/state:mo/county:texas,215,Texas County,TEXAS
ocd-division/country:us/state:mo/county:vernon,217,Vernon County,VERNON
ocd-division/country:us/state:mo/county:warren,219,Warren County,WARREN
ocd-division/country:us/state:mo/county:washington,221,Washington County,WASHINGTON
ocd-division/country:us/state:mo/county:wayne,223,Wayne County,WAYNE
ocd-division/country:us/state:mo/county:webster,225,Webster County,WEBSTER
ocd-division/country:us/state:mo/county:worth,227,Worth County,WORTH
ocd-division/country:us/state:mo/county:wright,229,Wright County,WRIGHT
